Unnamed: 0,Unnamed: 1,Unnamed: 2,Category,4 year,6 year
,,,AF Public,28.41,49.89
,,,AF Pvt For profit,27.95,36.46
,,,AF Pvt Not for profit,46.370000000000005,59.57
,,,AM Public,20.810000000000002,43.81
,,,AM Pvt For profit,20.35,30.380000000000003
,,,AM Pvt Not for profit,38.77,53.49
,,,AiF Publici,20.2,39.58
,,,AiF Pvt For profit,19.74,26.15
,,,AiF Pvt Not for profit,38.16,49.26
,,,AiM Public,12.6,33.5
,,,AiM Pvt For profit,12.139999999999999,20.07
,,,AiM Pvt Not for profit,30.559999999999995,43.18
,,,WF Publici,28.35,49.46
,,,WF Pvt For profit,27.89,36.03
,,,WF Pvt Not for profit,46.31,59.14
,,,WM Public,20.75,43.38
,,,WM Pvt For profit,20.29,29.950000000000003
,,,WM Pvt Not for profit,38.71,53.06
,,,BF Publici,17.08,38.26
,,,BF Pvt For profit,16.619999999999997,24.83
,,,BF Pvt Not for profit,35.04,47.94
,,,BM Public,9.479999999999999,32.18
,,,BM Pvt For profit,9.019999999999998,18.75
,,,BM Pvt Not for profit,27.439999999999998,41.86
,,,HF Publici,21.86,43.14
,,,HF Pvt For profit,21.4,29.71
,,,HF Pvt Not for profit,39.82,52.82
,,,HM Public,14.26,37.06
,,,HM Pvt For profit,13.799999999999999,23.630000000000003
,,,HM Pvt Not for profit,32.22,46.74
